Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
-0.3695919307812914,3.0,3.5,13.0,0,0,1,1,0,0
-0.3362347873311327,3.0,4.0,13.0,0,1,0,0,1,0
2.0210033498134115,2.75,22.0,16.0,0,1,0,1,0,0
-0.6197705066574812,2.0,3.0,15.0,0,1,0,1,0,0
-0.5641752675738835,2.0,3.0,16.0,0,1,0,1,0,0
2.0210033498134115,3.0,22.0,15.0,0,1,0,1,0,0
0.4921342750144736,3.0,6.0,15.0,0,1,0,1,0,0
-0.8699490825336711,3.0,3.1,13.0,0,1,0,0,1,0
-0.3417943112394925,3.0,4.0,14.0,0,1,0,0,1,0
-0.036020496279704925,2.5,5.0,15.0,0,1,0,1,0,0
-0.7031633652828778,2.5,4.0,20.0,0,0,1,0,1,0
-0.28619907215589474,3.0,4.8125,13.0,0,0,1,1,0,0
-0.8977467020754699,2.75,5.0,20.0,0,1,0,0,0,1
-1.0089371802426654,2.0,4.0,0.0,0,1,0,0,0,1
0.4643366554726747,3.0,8.5,13.0,0,1,0,0,1,0
-0.8143538434500733,3.0,3.25,0.0,0,0,1,1,0,0
-0.7031633652828778,2.5,3.0625,13.0,0,0,1,1,0,0
2.8549319360673775,3.0,14.0,14.0,0,1,0,1,0,0
-0.9255443216172687,10.0,3.5,10.0,0,1,0,0,0,1
-0.8421514629918722,2.5,3.0,14.0,0,1,0,0,1,0
-0.9255443216172687,3.0,3.0,16.0,0,1,0,0,1,0
-0.0638181158215038,3.0,4.0,20.0,0,1,0,1,0,0
-0.2139252613472177,3.0,4.0,15.0,0,1,0,1,0,0
-0.20836573743885792,3.0,5.0,20.0,0,1,0,1,0,0
0.853503329057859,3.0,5.3,14.0,0,1,0,1,0,0
-0.20836573743885792,2.5,3.0,10.0,0,1,0,1,0,0
-0.7031633652828778,3.0,3.0,13.0,0,1,0,1,0,0
3.6888605223213435,3.0,19.0,13.0,0,1,0,1,0,0
-0.008222876737906058,3.0,4.0,14.0,0,1,0,1,0,0
-0.28619907215589474,3.0,4.0,15.0,0,1,0,0,1,0
0.9090985681414566,3.0,11.0,16.0,0,1,0,1,0,0
0.07516998188749055,3.0,5.0,20.0,0,1,0,1,0,0
0.853503329057859,3.0,8.5,13.0,0,1,0,0,1,0
0.2975509382218815,3.0,7.0,15.0,0,1,0,1,0,0
-0.2584014526140959,3.0,4.0,13.0,0,1,0,1,0,0
0.6033247531816691,3.0,5.0,16.0,0,1,0,1,0,0
-0.2139252613472177,3.0,4.1,16.0,0,1,0,1,0,0
0.6311223727234679,13.0,5.259313367421475,20.0,0,0,1,1,0,0
0.2808723664968022,3.0,4.0,15.0,0,1,0,1,0,0
0.2975509382218815,3.0,4.0,13.0,0,1,0,1,0,0
-1.0367347997844643,1.5,4.75,18.0,0,1,0,1,0,0
-0.0638181158215038,2.0,5.75,11.0,0,1,0,1,0,0
3.132908131485366,2.5,20.0,16.0,0,0,1,1,0,0
-0.7031633652828778,2.5,4.0,14.0,0,1,0,1,0,0
-0.675365745741079,2.5,3.25,20.0,0,0,1,1,0,0
-0.6197705066574812,2.5,3.5,20.0,0,0,1,1,0,0
0.07516998188749055,2.0,7.0,20.0,0,1,0,0,1,0
1.465050958977434,2.0,14.0,16.0,0,1,0,1,0,0
2.2989795452314,2.0,11.0,18.0,0,1,0,1,0,0
0.15856284051288716,2.0,5.0,15.0,0,1,0,0,1,0
0.21415807959648492,2.0,5.0,15.0,0,1,0,1,0,0
-0.5363776480320845,2.0,4.0,14.0,0,1,0,1,0,0
1.1870747635594454,2.75,5.0,15.0,0,1,0,1,0,0
-0.230603833072297,2.0,4.0,13.0,0,1,0,1,0,0
0.6311223727234679,2.75,7.0,16.0,0,1,0,1,0,0
2.576955740649389,2.75,21.0,16.0,0,1,0,1,0,0
0.07516998188749055,2.0,5.0,15.0,0,1,0,1,0,0
1.3260628612684398,2.0,12.0,16.0,0,1,0,1,0,0
1.1870747635594454,2.0,9.0,20.0,0,1,0,1,0,0
1.8820152521044171,2.75,9.0,20.0,0,1,0,1,0,0
1.1870747635594454,2.0,8.0,14.0,0,1,0,1,0,0
0.07516998188749055,2.0,5.0,15.0,0,1,0,1,0,0
0.13076522097108828,2.0,6.0,15.0,0,1,0,1,0,0
-0.42518716986488914,2.0,4.0,14.0,0,1,0,1,0,0
0.7701104704324623,2.0,9.0,16.0,0,1,0,1,0,0
-0.8588300347169515,3.0,3.2,13.0,0,1,0,1,0,0
-0.42518716986488914,3.0,4.0,14.0,0,1,0,1,0,0
0.2975509382218815,3.0,7.0,14.0,0,1,0,1,0,0
-0.008222876737906058,3.0,5.5,13.0,0,1,0,0,1,0
0.34758665339711947,3.0,7.0,14.0,0,1,0,1,0,0
-0.8699490825336711,4.0,3.6785975164353535,0.0,0,0,1,0,0,1
-0.0638181158215038,4.0,4.0,20.0,0,1,0,1,0,0
-0.2584014526140959,3.0,5.0,14.0,0,1,0,0,1,0
0.13076522097108828,3.0,6.0,13.0,0,1,0,1,0,0
0.7701104704324623,3.0,9.0,15.0,0,1,0,0,0,1
-0.3139966916976936,2.75,4.0,12.0,0,1,0,1,0,0
-1.0367347997844643,2.5,2.5,13.0,0,0,1,0,1,0
-0.7587586043664756,2.5,3.5,13.0,0,0,1,0,1,0
-0.5919728871156823,3.0,3.5,13.0,0,1,0,0,1,0
-0.8421514629918722,2.5,3.5,13.0,0,0,1,0,1,0
-0.5085800284902857,3.0,4.0,22.0,0,1,0,0,1,0
-0.5474966958488041,3.0,4.0,18.0,0,1,0,1,0,0
0.2975509382218815,3.0,6.5,15.0,0,1,0,0,0,1
-0.1472109744469004,3.0,4.5,14.0,0,1,0,1,0,0
-0.2584014526140959,3.0,4.0,13.0,0,1,0,0,1,0
